iter	Passed	Remaining
977	8222	184
978	8230	176
979	8238	168
980	8246	159
981	8255	151
982	8264	142
983	8273	134
984	8281	126
985	8289	117
986	8297	109
987	8305	100
988	8314	92
989	8321	84
990	8329	75
991	8337	67
992	8346	58
993	8355	50
994	8363	42
995	8371	33
996	8379	25
997	8387	16
998	8395	8
999	8403	0
